driverId,season,skill_score,n_races
15,2013,-0.23580691,15
15,2014,-0.71513575,12
16,2002,-0.13519886,10
16,2003,0.18040018,11
16,2004,0.26100317,10
16,2005,0.28581083,13
16,2006,0.25519115,7
16,2007,0.09805687,10
16,2008,0.042694464,15
16,2009,0.33839032,15
16,2010,0.56810933,17
16,2011,0.56487924,18
16,2012,0.39062598,18
16,2013,0.4133271,16
17,2000,0.27777928,11
17,2001,-0.0024121904,11
17,2002,0.11689002,12
17,2003,0.044551477,10
17,2004,0.60058933,15
17,2005,0.47655657,11
17,2006,0.4731346,14
17,2007,0.07244189,11
17,2008,-0.1811447,14
17,2009,0.43328965,16
17,2010,0.40733892,17
17,2011,0.5692177,17
17,2012,0.21324953,18
17,2013,0.25804278,19
17,2014,0.102732874,18
17,2015,-0.24373443,13
17,2016,-0.14307116,15
18,2007,-0.5852929,12
18,2008,-0.618334,2
19,2007,0.39557964,5
19,2008,0.57038254,12
19,2009,0.8232861,14
19,2010,1.1551334,16
19,2011,1.3106503,18
19,2012,1.0868547,19
19,2013,1.2350726,18
19,2014,0.7210701,16
19,2015,0.9521649,18
19,2016,0.83438057,17
19,2017,0.9026357,18
19,2018,0.99583626,20
19,2019,0.8448083,19
19,2020,0.32558262,15
19,2021,0.44645652,19
19,2022,0.30045083,18
20,1996,-0.5053677,3
20,1997,-0.070427105,13
20,1998,-0.17067291,11
20,1999,-0.13061361,10
20,2000,-0.08631239,12
20,2001,-0.34109798,11
20,2002,-0.28818753,8
20,2003,-0.38587806,7
20,2004,-0.25910196,17
20,2005,-0.13768482,13
20,2006,0.00048820814,16
20,2007,-0.25730738,14
20,2008,-0.75894094,11
20,2009,-0.58266866,16
21,1993,0.15046701,8
21,1994,0.48273513,8
21,1995,0.34314603,8
21,1996,0.2382025,9
21,1997,0.16838245,3
21,1998,0.17036884,6
21,1999,0.33529383,11
21,2000,0.4592427,13
21,2001,0.39041907,14
21,2002,0.28806028,12
21,2003,0.28921425,11
21,2004,0.5954461,17
21,2005,0.3562521,17
21,2006,0.23952068,15
21,2007,0.007599515,15
21,2008,-0.23368803,13
21,2009,0.20373753,16
21,2010,0.12049122,17
21,2011,0.022874046,16
22,1997,0.42165947,7
22,1998,0.28449684,9
22,1999,0.48753047,12
22,2000,0.49370176,10
22,2001,0.487741,10
22,2002,0.39033535,15
22,2003,0.4256773,13
22,2004,0.45507008,7
22,2005,0.43353057,17
22,2006,0.3954649,11
22,2007,0.0072456123,11
23,2005,-0.9140967,2
23,2006,-0.76549613,14
23,2007,-0.8265365,10
23,2009,-1.0242923,4
23,2010,-0.8445122,13
23,2011,-1.0653374,12
24,1997,-0.37016854,1
24,1998,-0.19588117,11
24,1999,-0.27827293,10
24,2000,-0.31031883,12
24,2005,-0.24757923,1
24,2007,-0.38498423,12
25,2006,-0.92235035,14
25,2007,-1.036819,3
26,2005,-1.4390349,13
26,2006,-1.242429,10
26,2007,-1.5622187,5
28,2006,-1.6845585,3
28,2007,-1.8125553,5
28,2010,-1.7736288,6
29,1991,0.60657,3
29,1992,1.2006592,12
29,1993,1.1251463,9
29,1994,1.3855308,10
