driverId,season,skill_score,n_races
20,2005,-0.015316576,13
20,2006,0.13582428,16
20,2007,-0.15037428,14
20,2008,-0.5759309,11
20,2009,-0.44384372,16
21,1993,0.03379818,8
21,1994,0.43139058,8
21,1995,0.5708739,8
21,1996,0.5664743,9
21,1997,0.2047909,3
21,1998,0.1556251,6
21,1999,0.6014023,11
21,2000,0.7186013,13
21,2001,0.7448292,14
21,2002,0.7665321,12
21,2003,0.70661813,11
21,2004,0.7515505,17
21,2005,0.36362794,17
21,2006,0.2800053,15
21,2007,-0.06682531,15
21,2008,-0.05074491,13
21,2009,0.5672693,16
21,2010,0.2709961,17
21,2011,-0.006296804,16
22,1997,0.5864363,7
22,1998,0.4383812,9
22,1999,0.4315331,12
22,2000,0.46799025,10
22,2001,0.74691284,10
22,2002,0.73205215,15
22,2003,0.61675763,13
22,2004,0.4573659,7
22,2005,0.3385245,17
22,2006,0.36411467,11
22,2007,0.008650072,11
23,2005,-0.9732681,2
23,2006,-0.9071207,14
23,2007,-0.9311409,10
23,2009,-0.89396113,4
23,2010,-0.8900718,13
23,2011,-0.88300276,12
24,1997,0.15139931,1
24,1998,0.013488347,11
24,1999,-0.13513777,10
24,2000,-0.20591074,12
24,2005,-0.13643211,1
24,2007,-0.28197357,12
25,2006,-0.80874205,14
25,2007,-0.9398198,3
26,2005,-0.8939156,13
26,2006,-0.93166333,10
26,2007,-0.91515064,5
28,2006,-0.9203789,3
28,2007,-0.918066,5
28,2010,-0.9016947,6
29,1991,0.83668303,3
29,1992,1.2478665,12
29,1993,1.2571799,9
29,1994,1.2859117,10
29,1995,1.2707316,13
29,1996,1.2526934,10
29,1997,1.2172408,13
29,1998,1.2348957,13
29,1999,1.2114884,8
29,2000,1.2124865,13
29,2001,1.1993707,15
29,2002,1.203467,17
29,2003,1.1939555,15
29,2004,1.1726733,17
29,2005,1.060139,13
29,2006,1.1884515,16
29,2010,0.7282028,17
29,2011,0.60368663,14
29,2012,0.57837534,13
30,2001,1.1879455,6
30,2002,1.2523402,13
30,2003,1.2284722,13
30,2004,1.161554,14
30,2005,1.1110867,11
30,2006,0.95522225,5
31,2004,-0.55000794,14
31,2005,-0.3535713,11
31,2006,-0.64449495,8
31,2010,-0.78749317,2
32,2005,-0.98148537,18
32,2006,-0.935175,11
33,2006,-0.9195387,1
34,1996,0.36540878,13
34,1997,0.3742467,11
34,1998,0.21983658,13
34,1999,0.10517905,4
34,2000,0.15077491,13
34,2001,0.22364807,11
34,2002,0.040775947,10
34,2003,0.0171643,7
34,2004,0.035302203,3
34,2005,-0.2204661,15
34,2006,-0.14358756,8
35,2006,-0.9204127,3
36,1999,-0.88415927,5
36,2000,-0.68296224,6
36,2001,-0.51136106,7
36,2002,-0.8385689,8
36,2005,-0.8805481,1
36,2006,-0.50567657,6
36,2010,-0.7172521,7
36,2011,-0.9162022,1
36,2012,-0.82929045,15
37,2005,-0.8557043,6
37,2006,-0.9316974,3
38,2005,-1.0137775,14
38,2011,-0.9310455,7
38,2012,-0.93212295,12
39,2005,-0.90016687,5
40,1999,-0.9259594,5
40,2000,-0.9000801,10
40,2001,-0.90587175,1
40,2004,-0.9413069,3
41,2003,-0.35667214,5
41,2004,-0.3411188,3
41,2005,-0.46797362,3
42,2003,-0.64372694,13
42,2004,-0.67204326,7
43,1994,-0.55222493,14
43,1995,-0.28495505,11
43,1996,-0.39812577,9
43,1997,-0.18470466,8
43,1998,-0.4510806,9
43,1999,-0.47204456,10
43,2001,-0.3303913,11
43,2002,-0.34017935,7
43,2003,-0.2791209,7
43,2004,-0.43682495,13
44,2004,-0.960622,6
45,2004,-0.8711407,9
46,2003,-0.98061866,1
46,2004,-0.90801793,11
47,1999,-0.8493743,10
47,2000,-0.84578115,10
47,2003,-1.0362349,1
47,2004,-0.571294,2
48,1994,0.3758275,7
48,1995,0.32702002,12
48,1996,0.28897476,7
48,1997,0.55714446,12
48,1998,0.42030767,12
48,1999,0.48488867,13
48,2000,0.43336335,8
48,2001,0.29842392,9
48,2002,0.16576819,7
48,2003,0.18327442,9
49,1994,-0.70806414,4
49,1995,-0.9078262,1
49,1996,-0.86553305,4
49,1997,-0.9840492,8
49,1998,-0.9605039,3
49,2000,-0.8384708,7
49,2001,-0.9559586,12
49,2003,-0.8693876,10
50,2003,-0.7608444,7
51,2003,-0.71176285,8
52,2003,-0.8921704,5
53,2000,-0.94990957,1
53,2001,-0.7100832,8
54,1989,0.054948617,5
54,1990,0.2291472,10
54,1991,0.41939723,8
54,1992,0.24799196,6
54,1993,0.307122,7
54,1994,0.34305048,8
54,1995,0.36837545,9
54,1996,0.4788203,11
54,1997,0.35152987,14
54,1998,0.14422162,12
54,1999,-0.12155789,8
54,2000,-0.07091756,5
54,2001,0.00480358,16
55,1993,-0.60748065,1
55,1994,0.012890354,5
55,1995,0.2590915,9
55,1996,0.19319661,6
55,1997,0.093649514,11
55,1998,0.2660495,13
55,1999,0.23817341,15
55,2000,0.08197803,12
55,2001,-0.07586933,6
55,2002,-0.14734866,7
56,1991,-0.20322776,9
56,1992,0.08857735,9
56,1993,0.7248404,1
56,1994,0.76554024,8
56,1995,0.5677544,6
56,1996,0.5517754,13
56,1997,0.62004524,9
56,1998,0.7867452,13
56,1999,0.76161766,11
56,2000,0.7656922,14
56,2001,0.7279499,10
57,1997,-0.89263785,4
57,2001,-0.8936682,6
58,2001,-0.88134617,7
58,2002,-0.7765418,2
59,2000,-0.89691585,12
59,2001,-0.95776224,1
60,2001,-0.8686169,2
61,2001,-0.8254611,1
61,2002,-0.86642456,5
62,1994,-0.6473433,1
62,1995,-0.20937718,12
62,1996,-0.19855449,8
62,1997,-0.5447073,8
62,1998,-0.31047255,5
62,1999,-0.1502736,7
62,2000,-0.2028669,12
62,2002,-0.26921132,11
63,1995,-0.83965665,8
63,1996,-0.7953701,6
63,1997,-0.77995366,6
63,1998,-0.8135403,5
63,1999,-0.6440755,4
63,2000,-0.5544811,10
64,1989,-0.5442714,5
64,1991,-0.7383183,5
64,1992,-0.3624952,5
64,1993,-0.4210703,8
64,1994,-0.58460945,9
64,1995,0.08039196,13
64,1996,-0.20283997,8
64,1997,-0.14034726,11
64,1998,-0.27898106,8
64,1999,-0.1526149,9
64,2000,-0.39152578,9
65,2002,-0.8064054,8
