driverId,season,skill_score,n_races
83,1988,-0.026414163,1
83,1989,0.07356205,7
83,1991,0.05826195,9
83,1992,0.3247412,11
83,1993,0.16404091,11
83,1994,0.14509554,7
83,1995,0.11210406,6
83,1996,0.13485028,9
84,1995,-0.057858955,3
84,1996,0.1353181,1
85,1996,-0.05123852,2
86,1991,0.21369562,5
86,1993,0.32393897,9
86,1994,0.30510023,7
86,1995,0.23630993,10
87,1988,-0.33057034,1
87,1990,0.16233341,6
87,1991,0.1753214,1
87,1992,0.19604053,9
87,1993,0.15085901,5
87,1995,0.04582669,3
88,1995,0.023108717,5
89,1987,0.14965683,1
89,1990,0.25832716,3
89,1991,0.20732032,9
89,1995,0.17685416,4
90,1991,-0.0006202832,1
90,1992,0.11719597,6
90,1993,0.12723401,7
90,1994,-0.028101444,2
90,1995,0.000121861696,2
91,1989,-0.02119964,2
91,1991,-0.007708625,7
91,1992,-0.0030030552,4
91,1995,0.10151268,2
92,1994,-0.49161074,1
92,1995,0.04340256,2
93,1985,-0.064452685,3
93,1988,-0.04631079,5
93,1989,-0.027894467,6
93,1990,-0.062893234,7
93,1991,-0.012550499,9
93,1992,-0.084487334,8
93,1993,-0.08595029,4
93,1994,-0.035802774,9
93,1995,-0.16935357,4
94,1981,0.20055819,5
94,1982,0.3177937,6
94,1983,0.24262393,8
94,1984,0.27160487,5
94,1985,0.36743987,10
94,1986,0.5195002,12
94,1987,0.3503153,10
94,1988,0.15583657,2
94,1989,0.4938523,6
94,1990,0.36332116,9
94,1991,0.4415167,10
94,1992,0.57912403,12
94,1994,0.25888526,2
94,1995,0.62107855,1
95,1995,0.04226457,7
96,1995,0.07666503,2
97,1995,0.06641609,1
98,1988,0.05547277,4
98,1989,-0.020332187,3
98,1990,0.14634308,1
98,1991,0.013439561,3
98,1992,0.18961212,1
98,1995,-0.07907095,1
99,1991,0.1507957,8
99,1992,0.1906186,8
99,1993,0.15446387,8
99,1994,0.1746388,8
100,1990,0.04006619,1
100,1994,0.11907989,6
101,1984,0.14283794,6
101,1985,0.3508826,9
101,1986,0.25006792,10
101,1987,0.36237815,12
101,1988,0.3802764,14
101,1989,0.31204164,9
101,1990,0.44419804,12
101,1991,0.42661682,15
101,1992,0.38832435,9
101,1993,0.31609783,12
102,1989,-0.44607088,1
102,1990,0.13044086,8
102,1991,0.1524232,2
102,1994,0.22547936,11
103,1992,0.058606792,6
103,1993,0.08993491,10
103,1994,0.13037133,10
104,1981,0.10145956,5
104,1982,0.19330007,11
104,1983,0.1886996,7
104,1984,0.16449499,8
104,1985,0.3173965,10
104,1986,0.15826288,7
104,1987,0.17314659,6
104,1988,0.22653148,10
104,1989,0.14827138,4
104,1990,0.054961614,8
104,1991,0.0202123,2
104,1992,0.1838037,14
104,1993,0.108462356,4
104,1994,0.11245047,6
105,1994,0.21650273,4
106,1994,0.04266063,1
107,1992,-0.020030286,5
108,1990,0.20970231,1
108,1991,0.29273662,5
108,1992,0.16351925,11
108,1993,0.19214706,7
108,1994,0.13517746,4
109,1981,0.1047352,6
109,1982,0.0836496,6
109,1983,0.07109956,5
109,1984,0.083063416,7
109,1985,0.022675851,3
109,1986,0.08168889,1
109,1987,0.12163918,2
109,1988,0.13676712,5
109,1989,0.03612782,9
109,1990,0.029946763,2
109,1991,0.15751062,9
109,1992,0.05137337,8
109,1993,0.07121042,6
109,1994,-0.0076888353,2
110,1994,-0.0146179795,4
111,1984,0.03432416,3
111,1985,-0.10870265,1
111,1986,0.04934751,3
111,1987,0.020060107,6
111,1988,-0.028206296,8
111,1989,-0.045992367,4
111,1990,0.009460714,9
111,1993,0.0564877,10
112,1994,0.040442847,1
113,1987,-0.093037106,3
113,1988,0.08984356,9
113,1990,0.1281549,2
113,1994,0.11495682,1
115,1994,-0.023654707,1
116,1980,0.18918602,7
116,1981,0.36110178,6
116,1982,0.32065064,8
116,1983,0.46826434,12
116,1984,0.4728029,11
116,1985,0.56880504,12
116,1986,0.5360737,13
116,1987,0.467115,12
116,1988,0.5039704,14
116,1989,0.5220045,13
116,1990,0.52581877,12
116,1991,0.40195382,8
116,1993,0.5572684,15
117,1982,0.20521316,2
117,1983,0.27566683,6
117,1984,0.3757478,6
117,1985,0.30113846,7
117,1986,0.27131736,4
117,1987,0.21719725,6
