driverId,season,skill_score,n_races
34,2006,-0.14672074,8
35,2006,-1.006084,3
36,1999,-0.9130241,5
36,2000,-0.49144384,6
36,2001,-0.5192378,7
36,2002,-0.81533784,8
36,2005,-0.33784258,1
36,2006,-0.15609165,6
36,2010,-0.50817806,7
36,2011,-0.42429984,1
36,2012,-0.98469406,15
37,2005,-0.77539706,6
37,2006,-0.46691212,3
38,2005,-1.2837608,14
38,2011,-1.4539397,7
38,2012,-1.5728091,12
39,2005,-1.5219672,5
40,1999,-0.7253664,5
40,2000,-0.65355307,10
40,2001,-0.8120078,1
40,2004,-0.77489185,3
41,2003,-0.46440905,5
41,2004,-0.049608935,3
41,2005,-0.10304427,3
42,2003,-0.6780292,13
42,2004,-0.5096788,7
43,1994,-0.31309804,14
43,1995,-0.19680554,11
43,1996,-0.2761124,9
43,1997,-0.13062648,8
43,1998,-0.49542475,9
43,1999,-0.3827576,10
43,2001,-0.39813116,11
43,2002,-0.3815642,7
43,2003,-0.3022779,7
43,2004,-0.33491692,13
44,2004,-1.4396276,6
45,2004,-1.9367108,9
46,2003,-1.6795853,1
46,2004,-1.5051091,11
47,1999,-0.6810509,10
47,2000,-0.6882744,10
47,2003,-0.7459273,1
47,2004,-0.4579262,2
48,1994,0.22935458,7
48,1995,0.26594928,12
48,1996,0.19232126,7
48,1997,0.3667231,12
48,1998,0.27282783,12
48,1999,0.3782695,13
48,2000,0.22672158,8
48,2001,0.18971586,9
48,2002,-0.11020316,7
48,2003,-0.10643372,9
49,1994,-0.06047444,4
49,1995,-0.53989244,1
49,1996,-0.6091999,4
49,1997,-0.6889813,8
49,1998,-0.6085038,3
49,2000,-0.40521035,7
49,2001,-0.66510373,12
49,2003,-0.8408186,10
50,2003,-0.6362138,7
51,2003,-0.624351,8
52,2003,-1.6120806,5
53,2000,-0.6282588,1
53,2001,-0.6365833,8
54,1989,0.23323587,5
54,1990,0.38602832,10
54,1991,0.57970023,8
54,1992,0.59097224,6
54,1993,0.51381063,7
54,1994,0.5620776,8
54,1995,0.5451243,9
54,1996,0.41590405,11
54,1997,0.3553351,14
54,1998,0.22112018,12
54,1999,0.011134546,8
54,2000,-0.13848862,5
54,2001,-0.07682418,16
