model,model_level,lambda_orthogonal,driver_ref,driverId,old_constructor_ref,new_constructor_ref,old_season,new_season,round,raceId,actual,pred_new,pred_old,delta,old_tier,new_tier,tier_dir
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,4,436,14.0,7.435989856719971,6.136681079864502,1.2993087768554688,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,4,436,4.0,3.202747344970703,3.9869463443756104,-0.7841989994049072,A,A,0.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,5,437,18.0,7.00356388092041,6.8609113693237305,0.1426525115966797,B,B,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,5,437,15.0,5.809619903564453,5.6301774978637695,0.1794424057006836,A,B,-1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,5,437,3.0,2.033754348754883,2.7169947624206543,-0.6832404136657715,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,5,437,8.0,4.075476169586182,3.130422592163086,0.9450535774230957,B,A,1.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,6,438,17.0,7.05000114440918,6.854708194732666,0.19529294967651367,A,B,-1.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,6,438,12.0,6.365524768829346,6.228572368621826,0.13695240020751953,B,B,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,6,438,7.0,4.726884841918945,3.710618019104004,1.0162668228149414,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,6,438,2.0,2.033754348754883,2.7169947624206543,-0.6832404136657715,A,A,0.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,7,439,14.0,6.792876720428467,6.654180526733398,0.13869619369506836,B,B,0.0
model_no_orthogonal,zero,0.0,hulkenberg,807,aston_martin,haas,2022,2023,7,439,15.0,4.876956939697266,4.731875419616699,0.1450815200805664,A,B,-1.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,7,439,10.0,4.289677619934082,3.2832016944885254,1.0064759254455566,B,A,1.0
model_no_orthogonal,zero,0.0,alonso,3,alpine,aston_martin,2022,2023,7,439,7.0,3.8217923641204834,4.853414535522461,-1.0316221714019775,A,A,0.0
model_no_orthogonal,zero,0.0,gasly,452,alphatauri,alpine,2022,2023,8,440,12.0,7.022529125213623,5.723664283752441,1.2988648414611816,B,A,1.0
model_no_orthogonal,zero,0.0,de_vries,854,williams,alphatauri,2022,2023,8,440,18.0,7.590170383453369,7.4412641525268555,0.14890623092651367,B,B,0.0
